trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.95}",20,0,-97.35897569586511,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.95, 'e': 0.9025}",30,0,-101.77762101113142,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.95, 'e': 0.8573749999999999}",20,0,-102.11155306604563,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.95, 'e': 0.8145062499999999}",20,0,-113.83987180227932,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.95, 'e': 0.7737809374999998}",20,6,-127.24930210436169,"{0: 6, 1: 0, 2: 6, 3: 0, 4: 2}",1
6,False,"{'a': 0.95, 'e': 0.7350918906249998}",20,0,-39.27253228095826,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.95, 'e': 0.6983372960937497}",20,0,-178.5023560864828,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",1
8,False,"{'a': 0.95, 'e': 0.6634204312890623}",30,0,-78.66056381474633,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
9,False,"{'a': 0.95, 'e': 0.6302494097246091}",20,10,-41.680258712089724,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.95, 'e': 0.5987369392383787}",20,0,2.5762096920201243,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.95, 'e': 0.5688000922764597}",30,0,-48.046036245596326,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.95, 'e': 0.5403600876626367}",25,0,-98.91340186938316,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
13,False,"{'a': 0.95, 'e': 0.5133420832795048}",25,0,-47.69641537310161,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.95, 'e': 0.48767497911552954}",25,0,-59.004105462604386,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.95, 'e': 0.46329123015975304}",25,0,9.312539484872113,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.95, 'e': 0.44012666865176536}",20,0,0.8412540003761384,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.95, 'e': 0.4181203352191771}",25,0,-89.66066234300544,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.95, 'e': 0.3972143184582182}",20,14,10.74263365676001,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.95, 'e': 0.37735360253530725}",20,0,4.752105941445949,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.95, 'e': 0.3584859224085419}",25,0,-26.184105204246578,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.95, 'e': 0.3405616262881148}",25,0,-43.891535690651175,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.95, 'e': 0.323533544973709}",30,0,5.084051232063713,"{0: 25, 1: 4, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.95, 'e': 0.3073568677250236}",35,27,2.8422811880103076,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.95, 'e': 0.2919890243387724}",30,0,-106.73641214514379,"{0: 24, 1: 1, 2: 1, 3: 2, 4: 2}",0
25,False,"{'a': 0.95, 'e': 0.27738957312183377}",30,13,17.32407000721731,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.95, 'e': 0.26352009446574204}",30,0,-9.628839267889616,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.95, 'e': 0.2503440897424549}",30,6,11.799287623602872,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
28,False,"{'a': 0.95, 'e': 0.23782688525533216}",20,0,-30.70971635104112,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
29,False,"{'a': 0.95, 'e': 0.22593554099256555}",20,0,0.2634472405115771,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.95, 'e': 0.21463876394293727}",25,5,21.29950281672546,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
