trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9}",25,0,-31.346488170167504,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.81}",20,0,-168.36976355067702,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.9, 'e': 0.7290000000000001}",25,0,-42.72772534593435,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.9, 'e': 0.6561}",25,0,-172.53920986593155,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.9, 'e': 0.5904900000000001}",20,0,-5.678172862761624,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.531441}",25,0,-9.8536394629465,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.9, 'e': 0.4782969000000001}",20,0,-59.94781198675287,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.4304672100000001}",20,0,-88.57493285923161,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.3874204890000001}",30,10,-12.019016316956863,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.9, 'e': 0.3486784401000001}",20,3,-24.077291933923977,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.31381059609000006}",20,0,13.166119782664545,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.2824295364810001}",25,0,-43.381262910707584,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.9, 'e': 0.2541865828329001}",20,0,-22.761835661421017,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.2287679245496101}",30,0,-38.63810887037171,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.20589113209464907}",25,14,13.021561019435579,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.18530201888518416}",30,0,19.59239094904885,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.16677181699666577}",25,0,-44.1604823195851,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.15009463529699918}",30,0,26.068963541565214,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.13508517176729928}",20,0,24.696512278143665,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.9, 'e': 0.12157665459056935}",25,0,-6.126470799724875,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.10941898913151242}",25,3,27.363869015419226,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
