trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.96, 'e': 0.96}",20,0,-53.39123802208085,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.96, 'e': 0.9216}",20,4,-117.11308307282827,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 2}",1
3,False,"{'a': 0.96, 'e': 0.8847359999999999}",25,0,-97.70112248708034,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.96, 'e': 0.8493465599999999}",20,0,-50.16680850236498,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.96, 'e': 0.8153726975999999}",30,0,-144.64359932949742,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.96, 'e': 0.7827577896959999}",25,0,-59.57405096367968,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.96, 'e': 0.7514474781081598}",20,0,-49.53356361492886,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.96, 'e': 0.7213895789838334}",20,11,-39.46367585031167,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.96, 'e': 0.69253399582448}",25,13,-10.542389454359995,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.96, 'e': 0.6648326359915008}",30,0,-140.404943704036,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.96, 'e': 0.6382393305518408}",25,0,-74.19204942574667,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.96, 'e': 0.6127097573297671}",35,0,-150.60688735046398,"{0: 26, 1: 2, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.96, 'e': 0.5882013670365764}",20,0,10.711051078003093,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.96, 'e': 0.5646733123551133}",20,0,-37.881966199307875,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.96, 'e': 0.5420863798609088}",30,0,-113.3701141003756,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",1
16,False,"{'a': 0.96, 'e': 0.5204029246664724}",30,0,-14.102943188400328,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.96, 'e': 0.49958680767981345}",25,0,-83.85389722543187,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.96, 'e': 0.4796033353726209}",20,13,11.99576214942349,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.96, 'e': 0.4604192019577161}",20,1,-61.368512808514154,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
