trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0, 'e': 0.99}",30,0,-153.13725585113923,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0, 'e': 0.98}",30,0,-174.4251340467965,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0, 'e': 0.97}",20,0,-68.62885796083822,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
4,False,"{'a': 0, 'e': 0.96}",25,0,-189.3702054487195,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
5,False,"{'a': 0, 'e': 0.95}",20,0,-67.95166626148743,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0, 'e': 0.94}",25,7,1.5385408286058344,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0, 'e': 0.9299999999999999}",20,0,-70.59278764283559,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0, 'e': 0.9199999999999999}",20,11,-13.412626677297101,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0, 'e': 0.9099999999999999}",20,0,-32.02168148875137,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0, 'e': 0.8999999999999999}",20,0,-87.84698632137741,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0, 'e': 0.8899999999999999}",30,0,-73.00624905357262,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0, 'e': 0.8799999999999999}",20,0,-125.67143764721654,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0, 'e': 0.8699999999999999}",20,0,-118.89731887166658,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0, 'e': 0.8599999999999999}",20,0,-196.04753705081157,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0, 'e': 0.8499999999999999}",20,0,-137.12232753628905,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
16,False,"{'a': 0, 'e': 0.8399999999999999}",25,0,-169.4720551153232,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0, 'e': 0.8299999999999998}",25,0,-67.06659814296947,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0, 'e': 0.8199999999999998}",20,0,-58.61550689390586,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0, 'e': 0.8099999999999998}",25,0,-152.05134092785346,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0, 'e': 0.7999999999999998}",25,0,-114.88861002065194,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0, 'e': 0.7899999999999998}",35,0,-98.30744706285148,"{0: 26, 1: 3, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0, 'e': 0.7799999999999998}",30,0,-210.14971329005368,"{0: 16, 1: 2, 2: 7, 3: 3, 4: 2}",0
23,False,"{'a': 0, 'e': 0.7699999999999998}",25,0,-84.67219356522438,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0, 'e': 0.7599999999999998}",20,7,-18.312275061922854,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0, 'e': 0.7499999999999998}",25,0,-92.61893438899854,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
26,False,"{'a': 0, 'e': 0.7399999999999998}",25,0,-171.32224422629633,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
27,False,"{'a': 0, 'e': 0.7299999999999998}",35,0,-208.21351395841472,"{0: 18, 1: 2, 2: 12, 3: 1, 4: 2}",0
28,False,"{'a': 0, 'e': 0.7199999999999998}",25,0,-168.09598823933098,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
29,False,"{'a': 0, 'e': 0.7099999999999997}",25,0,-132.10266073211213,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0, 'e': 0.6999999999999997}",25,0,-141.013170933076,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0, 'e': 0.6899999999999997}",25,0,-103.20345133982669,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
